AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index flood
1800.92,0.471,0.959,0.0819,152.3,0.43,38.8,1110,183.0255
31.4,0.514,0.998,0.048,14.18,0.4,35.2,922,9.581
130.1,0.653,0.985,0.1461,30.25,0.28,27.5,596,3.815
344.36,0.461,0.909,0.0258,42.68,0.41,38.5,1170,80.671
710.96,0.458,0.995,0.1129,61.41,0.57,36.4,1153,200.849
67.25,0.36,0.961,0.1069,22.87,0.35,36.3,820,19.9025
851.65,0.616,0.966,0.1636,53.5,0.34,29.2,694,38.238
70.46,0.415,1,0.0618,26.99,0.3,31.5,622,10.044001
73.06,0.402,1,0.0287,23.15,0.65,52.8,1845,56.542
661.92,0.438,0.844,0.0746,67.37,0.63,54.5,1810,203.101
2172.36,0.318,0.961,0.0504,94.29,0.51,35.6,1016,880.582
204.57,0.41,0.95,0.1055,32.05,0.3,33.8,664,15.280001
183.79,0.86,0.969,0.0537,38.23,0.36,37,942,8.17
41.01,0.315,0.998,0.025,12.1,0.62,38.1,1129,29.912
48.51,0.696,0.994,0.0249,12.41,0.38,38.4,924,12.978
1008.74,0.431,0.934,0.0457,93.29,0.55,44.2,1367,222.987
44.59,0.333,1,0.0147,15.22,0.59,34.8,797,10.74
7.51,0.47,1,0.0023,5.76,0.44,39.2,1238,5.9845
131.51,0.576,0.95,0.0367,20.47,0.54,39.2,999,52.036
147.14,0.455,0.994,0.046,31.7,0.61,35.5,1186,82.964
4329.83,0.541,0.973,0.1055,222.49,0.38,34.4,912,337.019
276.57,0.514,0.989,0.0799,39.11,0.64,31.3,1144,87.59
86.87,0.449,0.93,0.0759,25.47,0.61,50.2,1837,71.791
196.12,0.456,0.986,0.0395,36.89,0.46,38.4,877,43.264
43.93,0.423,0.999,0.0314,16.21,0.71,48,1828,41.904
111.76,0.462,1,0.0231,30.44,0.51,41.3,1198,29.921
79.92,0.499,0.85,0.0622,22.7,0.49,65.2,2258,45.54
464.65,0.478,0.995,0.0292,40.55,0.66,58.4,1835,312.78198
26.31,0.471,0.996,0.1279,10.06,0.33,33,616,3.299
509.54,0.565,0.996,0.0361,68.74,0.56,35.7,967,97.8385
46.28,0.467,0.998,0.0535,14,0.58,47.3,1500,62.850502
363.01,0.439,0.789,0.0768,41.47,0.63,61.8,2064,97.957
1121.49,0.458,0.987,0.0464,62.57,0.57,34.2,937,350.319
273.62,0.333,0.99,0.1148,44.66,0.42,33.2,696,53.9395
21.61,0.379,0.998,0.0636,7.74,0.45,47.7,1628,12.9939995
532.29,0.62,0.993,0.047,55.13,0.42,33.6,826,57.193
44.31,0.585,1,0.0228,17.73,0.48,54.7,1664,37.518
72.16,0.49,0.994,0.046,28.46,0.46,41.1,1226,39.278
110.98,0.312,0.982,0.0448,22.48,0.71,58.6,1840,63.798
72.07,0.951,0.93,0.0393,25.75,0.34,34.3,819,0.992
220.39,0.485,0.996,0.035,24.84,0.5,41.6,1228,81.2715
70.11,0.417,0.964,0.0585,21.6,0.71,66.4,2307,101.718506
102.05,0.576,1,0.0358,32.11,0.47,44.9,1429,32.443
67.08,0.41,0.976,0.0345,22,0.66,35.5,1194,30.72
37.37,0.591,1,0.0237,15.7,0.48,41.7,1276,5.916
475.92,0.684,0.996,0.1874,55.62,0.34,33.2,741,14.8245
159.94,0.588,0.931,0.1125,32.98,0.34,29.1,700,4.946
29.52,0.625,0.997,0.2063,11.29,0.26,28.5,616,1.9195
311.37,0.707,0.932,0.1901,45.99,0.31,28.2,620,8.005
76.64,0.396,0.99,0.06,21.74,0.26,29.8,599,11.943
1833.26,0.507,0.98,0.0483,127.75,0.58,38.5,1080,556.402
365.69,0.403,0.993,0.0595,44.36,0.61,38.2,1250,141.8645
216.18,0.569,0.965,0.0722,29.6,0.38,37.6,865,49.925
215.68,0.763,0.976,0.0472,34.69,0.35,35.6,875,15.2275
92.75,0.479,0.99,0.0694,21.39,0.33,32.4,701,13.571
419.59,0.377,0.971,0.098,58.16,0.3,31.7,636,37.42
27.55,0.534,0.974,0.1771,9.78,0.31,27.6,608,1.014
83.87,0.965,0.997,0.0983,17.01,0.3,30.9,668,1.0239999
